f1,f2,run
-0.20716727637172186,-2.3865419931386374,8
-0.06699354586203685,-3.0316690876400796,8
-1.2381488398395888,-0.7872633731674323,8
-1.9639623222759035,-0.35830471978050527,8
-1.088653020085964,-0.9151115597221849,8
-0.30447257024589514,-2.097311243125849,8
-0.9191168575801162,-1.0842935603104937,8
-0.02781538842263508,-3.360697546686888,8
-0.17986855728107232,-2.483432022512631,8
-3.342282265342535,-0.029518338790512078,8
-1.089891220248386,-0.9139770060942954,8
-0.6014976614740576,-1.4992464492759028,8
-0.6106763359145154,-1.4848450265453987,8
-0.1427796711811401,-2.6313317763140223,8
